iter	RMSE
0	14.91701951
1	14.81764776
2	14.71498281
3	14.62115334
4	14.52048319
5	14.4240603
6	14.32481598
7	14.23328588
8	14.13915167
9	14.05457906
10	13.96267301
11	13.87519162
12	13.78349913
13	13.69650461
14	13.60918902
15	13.51958011
16	13.44451919
17	13.36096542
18	13.27322896
19	13.18976766
20	13.12228431
21	13.03492066
22	12.95780257
23	12.88075605
24	12.80151625
25	12.71967324
26	12.64091832
27	12.56123491
28	12.48182476
29	12.40662197
30	12.33431133
31	12.25461026
32	12.18140761
33	12.11481114
34	12.04119728
35	11.96744362
36	11.89210156
37	11.82463918
38	11.75832222
39	11.68757979
40	11.61984824
41	11.55087201
42	11.48811056
43	11.42227228
44	11.35441994
45	11.28846206
46	11.22749743
47	11.16729446
48	11.10700122
49	11.04537948
50	10.98472588
51	10.92504523
52	10.87002922
53	10.81138342
54	10.75911502
55	10.69631255
56	10.63776285
57	10.58177661
58	10.52051643
59	10.46866419
60	10.41399355
61	10.36052234
62	10.304344
63	10.25672252
64	10.20535822
65	10.1483277
66	10.09216543
67	10.04120493
68	9.988992582
69	9.938326736
70	9.887302238
71	9.839986046
72	9.788810643
73	9.73929672
74	9.68626244
75	9.641576772
76	9.597917738
77	9.550194067
78	9.506271832
79	9.462673203
80	9.418007282
81	9.37381192
82	9.326323742
83	9.286483429
84	9.239006521
85	9.193753134
86	9.15604453
87	9.117733564
88	9.077382869
89	9.03228712
90	8.990245591
91	8.956018788
92	8.918929253
93	8.875675904
94	8.835008689
95	8.797563917
96	8.759592643
97	8.722753152
98	8.684570413
99	8.649404623
100	8.611697082
101	8.57939556
102	8.543684436
103	8.505432723
104	8.472148552
105	8.438013586
106	8.404540767
107	8.372324563
108	8.343135934
109	8.309351301
110	8.276115362
111	8.246875669
112	8.21518304
113	8.181457239
114	8.152026122
115	8.119061827
116	8.090234904
117	8.06203724
118	8.030105049
119	7.999926054
120	7.971428701
121	7.939896661
122	7.908325591
123	7.877771163
124	7.851912331
125	7.824081264
126	7.79374391
127	7.764106608
128	7.736982935
129	7.711276189
130	7.687684758
131	7.658200605
132	7.630358022
133	7.606865526
134	7.580132407
135	7.557660485
136	7.532555451
137	7.508158684
138	7.482924486
139	7.458559188
140	7.432837883
141	7.409265995
142	7.387723182
143	7.36336834
144	7.345655263
145	7.322778758
146	7.296978747
147	7.273030897
148	7.253914023
149	7.230607332
150	7.212221861
151	7.18931661
152	7.170618645
153	7.151369455
154	7.129626992
155	7.107602807
156	7.086505121
157	7.068027423
158	7.04746857
159	7.028668973
160	7.00923883
161	6.989796821
162	6.969296121
163	6.95015603
164	6.93445986
165	6.916561772
166	6.899923276
167	6.883289041
168	6.863557622
169	6.844617946
170	6.829734008
171	6.814533328
172	6.797853113
173	6.779639136
174	6.765149127
175	6.750509923
176	6.738815938
177	6.723348147
178	6.704988921
179	6.688989152
180	6.671484621
181	6.654429159
182	6.638386656
183	6.623720577
184	6.608980522
185	6.593622153
186	6.579444568
187	6.565487045
188	6.549097192
189	6.536785145
190	6.523022778
191	6.508011528
192	6.493848158
193	6.48028133
194	6.46797879
195	6.454746031
196	6.441559504
197	6.429042774
198	6.4155007
199	6.403691801
200	6.390540117
201	6.377130672
202	6.364776731
203	6.354113202
204	6.340686424
205	6.328022595
206	6.315872322
207	6.302922929
208	6.291354123
209	6.280412993
210	6.268479502
211	6.258390961
212	6.246095119
213	6.23462252
214	6.223212251
215	6.213732114
216	6.202962505
217	6.191893129
218	6.181148427
219	6.172541951
220	6.161209493
221	6.153664567
222	6.14373905
223	6.132979635
224	6.122923671
225	6.11594556
226	6.107288996
227	6.098048421
228	6.088301619
229	6.077483485
230	6.068217887
231	6.057572186
232	6.049376732
233	6.040881136
234	6.031268159
235	6.022754057
236	6.01357978
237	6.00391276
238	5.995887826
239	5.988928156
240	5.980687479
241	5.973480751
242	5.965478397
243	5.957281901
244	5.950229503
245	5.942086222
246	5.934071121
247	5.926873959
248	5.919831198
249	5.911458193
250	5.902953545
251	5.894176583
252	5.88716693
253	5.878973847
254	5.8721183
255	5.864287903
256	5.856715436
257	5.850529992
258	5.843440138
259	5.837046423
260	5.829092244
261	5.823108589
262	5.815927368
263	5.80721311
264	5.800927521
265	5.793828315
266	5.788414364
267	5.781852278
268	5.774751388
269	5.768239224
270	5.762281308
271	5.757568982
272	5.752079795
273	5.746619107
274	5.739669291
275	5.732653182
276	5.72699564
277	5.721139517
278	5.715926824
279	5.710168289
280	5.704381303
281	5.698152985
282	5.69225181
283	5.686655791
284	5.680631948
285	5.675237012
286	5.669798269
287	5.663636412
288	5.657856736
289	5.65186914
290	5.646560346
291	5.640701984
292	5.635980129
293	5.630381138
294	5.624962233
295	5.618817148
296	5.614597186
297	5.610483855
298	5.60599511
299	5.601671041
300	5.597113239
301	5.593452244
302	5.590208718
303	5.585338027
304	5.580692199
305	5.575795509
306	5.57198983
307	5.568510184
308	5.564298682
309	5.559342068
310	5.555324758
311	5.551735275
312	5.547474347
313	5.5424547
314	5.537980401
315	5.533490049
316	5.529257433
317	5.525672433
318	5.520663101
319	5.517208664
320	5.512765238
321	5.508714467
322	5.505541194
323	5.502535068
324	5.4985004
325	5.494571323
326	5.490721103
327	5.486338096
328	5.482449943
329	5.478530131
330	5.475448562
331	5.471182379
332	5.467544516
333	5.463598761
334	5.459767237
335	5.456571364
336	5.452770453
337	5.449398859
338	5.444845406
339	5.441879582
340	5.438463547
341	5.435507356
342	5.432404855
343	5.42924485
344	5.425740888
345	5.422673516
346	5.418768905
347	5.415530833
348	5.412567369
349	5.408753657
350	5.405701028
351	5.403378829
352	5.398868452
353	5.395674117
354	5.392982726
355	5.38979636
356	5.386030672
357	5.383493356
358	5.379729504
359	5.377179297
360	5.374963691
361	5.372295937
362	5.369007211
363	5.366575509
364	5.364158343
365	5.360942781
366	5.358138444
367	5.35509257
368	5.352173306
369	5.349374662
370	5.346223659
371	5.342864687
372	5.339418067
373	5.336711398
374	5.333810107
375	5.331180343
376	5.327749051
377	5.326227282
378	5.323094063
379	5.320205108
380	5.31776829
381	5.315256282
382	5.312569283
383	5.309725073
384	5.306782377
385	5.303035187
386	5.300602835
387	5.297645166
388	5.294919958
389	5.291997229
390	5.289124927
391	5.286558007
392	5.28438226
393	5.280991478
394	5.278603715
395	5.276023442
396	5.273462167
397	5.271061873
398	5.268271506
399	5.265562396
400	5.263240449
401	5.260854729
402	5.258998045
403	5.256635809
404	5.254303085
405	5.251891976
406	5.249791807
407	5.246731687
