iter	Passed	Remaining
0	133	133103
1	134	67275
2	136	45231
3	137	34222
4	138	27574
5	139	23141
6	141	20058
7	142	17684
8	143	15799
9	144	14284
10	145	13040
11	145	11996
12	146	11117
13	147	10357
14	147	9698
15	148	9117
16	149	8621
17	149	8172
18	150	7766
19	151	7401
20	151	7057
21	152	6757
22	152	6482
23	153	6233
24	153	6003
25	154	5790
26	155	5593
27	155	5408
28	156	5240
29	157	5079
30	157	4929
31	158	4789
32	158	4658
33	159	4539
34	160	4424
35	161	4314
36	161	4209
37	162	4116
38	163	4022
39	163	3933
40	164	3856
41	166	3789
42	166	3711
43	167	3637
44	168	3569
45	168	3501
46	169	3436
47	170	3372
48	170	3311
49	171	3252
50	171	3195
51	172	3141
52	172	3090
53	173	3041
54	174	2993
55	174	2948
56	175	2902
57	176	2859
58	176	2816
59	177	2776
60	177	2737
61	178	2703
62	179	2665
63	179	2629
64	180	2593
65	180	2559
66	181	2529
67	182	2496
68	182	2465
69	183	2437
70	184	2408
71	184	2379
72	185	2351
73	185	2324
74	186	2298
75	186	2272
76	187	2248
77	188	2223
78	188	2199
79	189	2176
80	189	2154
81	190	2132
82	191	2111
83	191	2091
84	192	2073
85	193	2052
86	193	2035
87	194	2016
88	195	1997
89	195	1978
90	196	1959
91	196	1941
92	197	1924
93	197	1907
94	198	1891
95	199	1875
96	199	1859
97	200	1843
98	200	1828
99	201	1813
100	202	1798
101	202	1782
102	203	1769
103	203	1755
104	204	1743
105	205	1729
106	205	1715
107	206	1702
108	206	1688
109	207	1676
110	207	1664
111	208	1651
112	208	1639
113	209	1627
114	209	1615
115	210	1605
116	211	1595
117	211	1582
118	212	1571
119	212	1561
120	213	1551
121	214	1541
122	214	1531
123	215	1522
124	216	1512
125	216	1502
126	217	1492
127	217	1482
128	218	1473
129	218	1465
130	219	1456
131	220	1447
132	220	1438
133	221	1430
134	221	1422
135	222	1413
136	223	1405
137	223	1397
138	224	1388
139	224	1381
140	225	1373
141	226	1366
142	226	1358
143	227	1352
144	227	1342
145	228	1335
146	228	1328
147	229	1321
148	230	1314
149	230	1306
150	231	1299
151	231	1293
152	232	1286
153	233	1280
154	233	1273
155	234	1266
156	235	1261
157	235	1255
158	236	1249
159	236	1243
160	237	1237
161	238	1232
162	239	1228
163	239	1223
164	240	1218
165	241	1215
166	242	1210
167	243	1204
168	243	1198
169	244	1193
170	245	1188
171	245	1183
172	246	1177
173	247	1173
174	247	1167
175	248	1162
176	248	1156
177	249	1151
178	249	1146
179	250	1141
180	251	1136
181	251	1131
